POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	12
1	2	+	10
2	3	+	10
3	4	+	10
4	5	-	10
5	6	-	10
6	7	-	10
7	8	+	10
8	9	+	10
9	10	+	10
10	11	-	10
11	12	+	10
12	13	+	10
13	14	-	10
14	15	-	10
15	16	-	10
16	17	-	10
17	18	+	10
18	19	-	10
19	20	-	12
20	21	+	10
21	22	-	10
22	23	-	10
23	24	-	10
24	25	-	10
25	26	+	10
26	27	-	12
27	28	+	10
28	29	+	10
29	30	-	10
30	31	+	10
31	32	-	12
32	33	-	10
33	34	+	10
34	35	+	10
35	36	+	10
36	37	-	10
37	38	-	12
38	39	+	14
39	40	-	10
40	41	-	10
41	42	-	12
42	43	-	10
43	44	+	12
44	45	-	10
45	46	+	10
46	47	-	10
47	48	+	10
48	49	+	10
49	50	-	10
50	51	+	10
51	52	+	10
52	53	+	10
53	54	+	12
54	55	+	10
55	56	+	10
56	57	-	10
57	58	-	10
58	59	-	10
59	60	-	10
60	61	-	10
61	62	-	10
62	63	+	10
63	64	-	15
64	65	-	10
65	66	+	10
66	67	-	10
67	68	+	10
68	69	-	10
69	70	+	10
70	71	+	10
71	72	-	12
72	73	-	12
73	74	+	10
74	75	+	10
75	76	+	10
76	77	+	10
77	78	-	10
78	79	-	10
79	80	-	12
80	81	+	10
81	82	+	10
82	83	-	10
83	84	-	10
84	85	-	10
85	86	-	12
86	87	+	20
87	88	+	10
88	89	+	10
89	90	-	14
90	91	-	18
91	92	+	12
92	93	+	15
93	94	+	10
94	95	+	10
95	96	-	15
96	97	+	17
97	98	-	10
98	99	-	12
99	100	-	10
